AGE,SITE,N
6,TASIUJAQ,16
7,TASIUJAQ,7
8,TASIUJAQ,4
9,TASIUJAQ,2
10,TASIUJAQ,0
11,TASIUJAQ,0
12,TASIUJAQ,0
13,TASIUJAQ,0
14,TASIUJAQ,0
15,TASIUJAQ,0
16,TASIUJAQ,1
17,TASIUJAQ,0
18,TASIUJAQ,0
19,TASIUJAQ,0
20,TASIUJAQ,0
21,TASIUJAQ,0
22,TASIUJAQ,0
23,TASIUJAQ,0
24,TASIUJAQ,0
25,TASIUJAQ,0
26,TASIUJAQ,0
27,TASIUJAQ,0
28,TASIUJAQ,0
29,TASIUJAQ,0
30,TASIUJAQ,0
31,TASIUJAQ,0
32,TASIUJAQ,0
33,TASIUJAQ,0
34,TASIUJAQ,0
35,TASIUJAQ,0
36,TASIUJAQ,0
37,TASIUJAQ,0
38,TASIUJAQ,0
39,TASIUJAQ,0
40,TASIUJAQ,0
41,TASIUJAQ,0
42,TASIUJAQ,0
43,TASIUJAQ,0
44,TASIUJAQ,0
45,TASIUJAQ,0
46,TASIUJAQ,0
47,TASIUJAQ,0
48,TASIUJAQ,0
5,SALLUIT,11
6,SALLUIT,6
7,SALLUIT,6
8,SALLUIT,8
9,SALLUIT,4
10,SALLUIT,4
11,SALLUIT,2
12,SALLUIT,3
13,SALLUIT,3
14,SALLUIT,3
15,SALLUIT,1
16,SALLUIT,0
17,SALLUIT,0
18,SALLUIT,0
19,SALLUIT,0
20,SALLUIT,0
21,SALLUIT,0
22,SALLUIT,0
23,SALLUIT,0
24,SALLUIT,0
25,SALLUIT,0
26,SALLUIT,0
27,SALLUIT,0
28,SALLUIT,0
29,SALLUIT,0
30,SALLUIT,0
31,SALLUIT,0
32,SALLUIT,0
33,SALLUIT,0
34,SALLUIT,0
35,SALLUIT,0
36,SALLUIT,0
37,SALLUIT,0
38,SALLUIT,0
39,SALLUIT,0
40,SALLUIT,0
41,SALLUIT,0
42,SALLUIT,0
43,SALLUIT,0
44,SALLUIT,0
45,SALLUIT,0
